Y,X,cluster_id
1193.0,9383.0,182
3384.0,2551.0,183
3374.0,2558.0,183
3725.0,3133.0,184
3747.0,3122.0,184
955.0,8545.0,185
4330.0,1296.0,186
3059.0,3998.0,187
2799.0,5549.0,188
1174.0,8077.0,189
3293.0,3745.0,190
5202.0,2668.0,191
3648.0,2808.0,192
3842.0,2409.0,193
4388.0,2302.0,194
4869.0,1783.0,195
3735.0,3381.0,196
3697.0,5014.0,197
4653.0,1909.0,198
3467.0,2957.0,199
3868.0,5461.0,200
3217.0,3960.0,201
3820.0,2757.0,202
2826.0,4097.0,203
1860.0,4909.0,204
2932.0,4311.0,205
2533.0,4620.0,206
1710.0,6642.0,207
2611.0,4391.0,208
3386.0,4916.0,209
3137.0,4152.0,210
1757.0,6085.0,211
2406.0,5525.0,212
2127.0,4932.0,213
3214.0,4767.0,214
3849.0,3251.0,215
1044.0,7946.0,216
2197.0,5876.0,217
1360.0,5176.0,218
3633.0,2674.0,219
3765.0,4111.0,220
3794.0,4488.0,221
1778.0,7079.0,222
3129.0,4885.0,223
1521.0,4973.0,224
1986.0,6370.0,225
2681.0,4873.0,226
2784.0,5679.0,227
3604.0,3283.0,228
3510.0,3216.0,229
3568.0,5214.0,230
1952.0,6739.0,231
4630.0,2072.0,232
4643.0,2058.0,232
3571.0,3921.0,233
1545.0,5105.0,234
1200.0,9103.0,235
2837.0,5018.0,236
4087.0,6094.0,237
1273.0,8823.0,238
1547.0,8661.0,239
3664.0,3491.0,240
3031.0,4243.0,241
3121.0,3480.0,242
3019.0,3753.0,243
2450.0,5611.0,244
936.0,7668.0,245
3404.0,3758.0,246
4664.0,2254.0,247
3288.0,4814.0,248
2905.0,4609.0,249
3690.0,4317.0,250
4784.0,1902.0,251
2741.0,4026.0,252
1978.0,5906.0,253
1343.0,8260.0,254
1796.0,9197.0,255
4885.0,2377.0,256
1340.0,8981.0,257
1386.0,8398.0,258
3415.0,5146.0,259
1042.0,8844.0,260
934.0,9994.0,261
2177.0,4873.0,262
3974.0,3766.0,263
4060.0,6249.0,264
2717.0,3787.0,265
2833.0,3802.0,266
3829.0,4066.0,267
3871.0,3647.0,268
3820.0,4738.0,269
4635.0,1662.0,270
2052.0,5724.0,271
879.0,9281.0,272
3499.0,4095.0,273
3856.0,3971.0,274
3741.0,4569.0,275
3207.0,3505.0,276
3097.0,5132.0,277
3770.0,3894.0,278
4077.0,2122.0,279
3238.0,2596.0,280
3979.0,2669.0,281
893.0,9087.0,282
3057.0,3435.0,283
1330.0,8769.0,284
2658.0,4974.0,285
3353.0,3364.0,286
1938.0,6090.0,287
4265.0,1389.0,288
2995.0,5420.0,289
1316.0,8428.0,290
1412.0,9669.0,291
1011.0,8106.0,292
1930.0,9281.0,293
376.0,7833.0,294
2717.0,3718.0,295
3558.0,4181.0,296
4218.0,1545.0,297
2885.0,5363.0,298
2520.0,5518.0,299
3549.0,4803.0,300
2451.0,5384.0,301
4053.0,3178.0,302
1809.0,6795.0,303
1610.0,8637.0,304
3350.0,4021.0,305
3764.0,2314.0,306
3844.0,2925.0,307
3044.0,3313.0,308
3837.0,3092.0,309
856.0,9437.0,310
931.0,8894.0,311
885.0,9905.0,312
2641.0,4615.0,313
1199.0,7835.0,314
1173.0,7818.0,314
979.0,8635.0,315
5070.0,1845.0,316
2850.0,5308.0,317
3930.0,3134.0,318
4004.0,1213.0,319
2441.0,4878.0,320
3809.0,3032.0,321
3427.0,2504.0,322
1368.0,9229.0,323
2488.0,5680.0,324
3849.0,2264.0,325
1470.0,5158.0,326
2394.0,4680.0,327
4929.0,2332.0,328
2374.0,5083.0,329
3075.0,4145.0,330
1024.0,8768.0,331
1036.0,8745.0,331
1017.0,8787.0,331
2093.0,9238.0,332
2075.0,9213.0,332
3245.0,5164.0,333
3298.0,4076.0,334
3510.0,4699.0,335
2339.0,5760.0,336
5128.0,1922.0,337
3732.0,2771.0,338
873.0,9770.0,339
1150.0,8825.0,340
5075.0,1786.0,341
5018.0,1873.0,342
4064.0,2422.0,343
1289.0,7674.0,344
4671.0,2142.0,345
2880.0,3642.0,346
3522.0,3369.0,347
3432.0,3707.0,348
3083.0,3356.0,349
2900.0,4885.0,350
3042.0,5074.0,351
2997.0,3589.0,352
1227.0,8983.0,353
2818.0,4964.0,354
3650.0,3414.0,355
2196.0,5647.0,356
3495.0,4786.0,357
3842.0,3829.0,358
1994.0,4920.0,359
3242.0,3549.0,360
3501.0,2238.0,361
3536.0,4643.0,362
3888.0,4619.0,363
2128.0,5780.0,364
3881.0,2829.0,365
1233.0,9346.0,366
3269.0,4865.0,367
1244.0,8744.0,368
3375.0,2397.0,369
