og_coord,Path
"(2818.0, 3355.0)","[(2818, 3355), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2984.0, 2963.0)","[(2984, 2963), (2968.0, 3024.0), (2952.0, 3056.0), (2936.0, 3472.0), (2920.0, 3488.0), (2904.0, 3504.0), (2888.0, 3520.0), (2872.0, 3536.0), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2673.0, 3500.0)","[(2673, 3500), (2680.0, 3568.0), (2720.0, 3576.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2844.0, 3635.0)","[(2844, 3635), (2768.0, 3640.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2592.0, 3816.0), (2584.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2805.0, 3658.0)","[(2805, 3658), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2592.0, 3816.0), (2576.0, 3832.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2757.0, 3527.0)","[(2757, 3527), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2873.0, 2969.0)","[(2873, 2969), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2565.0, 3733.0)","[(2565, 3733), (2552.0, 3856.0), (2544, 3872)]"
"(2689.0, 3310.0)","[(2689, 3310), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2651.0, 2984.0)","[(2651, 2984), (2648.0, 3344.0), (2664.0, 3360.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2816.0, 2914.0)","[(2816, 2914), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2698.0, 3734.0)","[(2698, 3734), (2680.0, 3744.0), (2664.0, 3760.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2592.0, 3816.0), (2576.0, 3832.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2943.0, 2916.0)","[(2943, 2916), (2920.0, 3488.0), (2904.0, 3504.0), (2888.0, 3520.0), (2872.0, 3536.0), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2600.0, 3335.0)","[(2600, 3335), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2915.0, 3254.0)","[(2915, 3254), (2904.0, 3504.0), (2888.0, 3520.0), (2872.0, 3536.0), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2599.0, 3329.0)","[(2599, 3329), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2743.0, 3221.0)","[(2743, 3221), (2744.0, 3584.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2589.0, 3744.0)","[(2589, 3744), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(3017.0, 3260.0)","[(3017, 3260), (3000.0, 3392.0), (2984.0, 3408.0), (2968.0, 3440.0), (2952.0, 3456.0), (2936.0, 3472.0), (2920.0, 3488.0), (2904.0, 3504.0), (2888.0, 3520.0), (2872.0, 3536.0), (2856.0, 3552.0), (2840.0, 3568.0), (2824.0, 3584.0), (2808.0, 3600.0), (2792.0, 3616.0), (2776.0, 3632.0), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2758.0, 3573.0)","[(2758, 3573), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2513.0, 3392.0)",0
"(2709.0, 2962.0)","[(2709, 2962), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2774.0, 3643.0)","[(2774, 3643), (2760.0, 3648.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2592.0, 3816.0), (2576.0, 3832.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2722.0, 2934.0)","[(2722, 2934), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(3069.0, 3633.0)","[(3069, 3633), (3048.0, 3648.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2760.0, 3495.0)","[(2760, 3495), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(3029.0, 3685.0)","[(3029, 3685), (2912.0, 3672.0), (2896.0, 3656.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(3042.0, 3679.0)","[(3042, 3679), (2896.0, 3656.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(3087.0, 3729.0)","[(3087, 3729), (2960.0, 3720.0), (2952.0, 3696.0), (2928.0, 3688.0), (2912.0, 3672.0), (2896.0, 3656.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(3073.0, 3712.0)","[(3073, 3712), (2960.0, 3704.0), (2928.0, 3688.0), (2912.0, 3672.0), (2896.0, 3656.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(3027.0, 3747.0)","[(3027, 3747), (2976.0, 3736.0), (2960.0, 3720.0), (2952.0, 3696.0), (2928.0, 3688.0), (2912.0, 3672.0), (2896.0, 3656.0), (2752.0, 3656.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2616.0, 3840.0), (2560.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2187.0, 3676.0)","[(2187, 3676), (2352.0, 3672.0), (2368.0, 3688.0), (2384.0, 3704.0), (2400.0, 3720.0), (2416.0, 3736.0), (2432.0, 3752.0), (2448.0, 3768.0), (2464.0, 3784.0), (2472.0, 3840.0), (2528.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2254.0, 3638.0)","[(2254, 3638), (2288.0, 3640.0), (2320.0, 3656.0), (2352.0, 3672.0), (2368.0, 3688.0), (2384.0, 3704.0), (2400.0, 3720.0), (2416.0, 3736.0), (2432.0, 3752.0), (2448.0, 3768.0), (2464.0, 3784.0), (2472.0, 3840.0), (2528.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2222.0, 3601.0)","[(2222, 3601), (2224.0, 3608.0), (2256.0, 3624.0), (2288.0, 3640.0), (2320.0, 3656.0), (2352.0, 3672.0), (2368.0, 3688.0), (2384.0, 3704.0), (2400.0, 3720.0), (2416.0, 3736.0), (2432.0, 3752.0), (2448.0, 3768.0), (2464.0, 3784.0), (2472.0, 3840.0), (2528.0, 3848.0), (2544.0, 3864.0), (2544, 3872)]"
"(2433.0, 3004.0)","[(2433, 3004), (2424.0, 2912.0), (2408.0, 2880.0), (2392.0, 2864.0), (2376.0, 2848.0), (2352.0, 2840.0), (2336.0, 2824.0), (2304.0, 2808.0), (2296.0, 2784.0), (2256.0, 2776.0), (2248.0, 2144.0), (2232.0, 2064.0), (2216.0, 2048.0), (2208, 2032)]"
"(2176.0, 3086.0)","[(2176, 3086), (2184.0, 3184.0), (2200.0, 3200.0), (2240.0, 3208.0), (2288.0, 3208.0), (2304.0, 3192.0), (2312.0, 3168.0), (2368.0, 3176.0), (2384.0, 3192.0), (2400.0, 3208.0), (2408.0, 3376.0), (2424.0, 3392.0), (2440.0, 3408.0), (2480.0, 3400.0), (2512.0, 3384.0), (2560.0, 3368.0), (2576.0, 3352.0), (2592.0, 3336.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2348.0, 3322.0)","[(2348, 3322), (2352.0, 3320.0), (2368.0, 3336.0), (2384.0, 3352.0), (2400.0, 3368.0), (2416.0, 3384.0), (2432.0, 3400.0), (2480.0, 3400.0), (2512.0, 3384.0), (2560.0, 3368.0), (2576.0, 3352.0), (2592.0, 3336.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2222.0, 3168.0)","[(2222, 3168), (2216.0, 3200.0), (2240.0, 3208.0), (2288.0, 3208.0), (2304.0, 3192.0), (2312.0, 3168.0), (2368.0, 3176.0), (2384.0, 3192.0), (2400.0, 3208.0), (2408.0, 3376.0), (2424.0, 3392.0), (2440.0, 3408.0), (2480.0, 3400.0), (2512.0, 3384.0), (2560.0, 3368.0), (2576.0, 3352.0), (2592.0, 3336.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2205.0, 3124.0)","[(2205, 3124), (2200.0, 3200.0), (2240.0, 3208.0), (2288.0, 3208.0), (2304.0, 3192.0), (2312.0, 3168.0), (2368.0, 3176.0), (2384.0, 3192.0), (2400.0, 3208.0), (2408.0, 3376.0), (2424.0, 3392.0), (2440.0, 3408.0), (2480.0, 3400.0), (2512.0, 3384.0), (2560.0, 3368.0), (2576.0, 3352.0), (2592.0, 3336.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2238.0, 2915.0)","[(2238, 2915), (2216.0, 2048.0), (2208, 2032)]"
"(2066.0, 3030.0)","[(2066, 3030), (2080.0, 3016.0), (2128.0, 3016.0), (2144.0, 3032.0), (2152.0, 3152.0), (2168.0, 3168.0), (2184.0, 3184.0), (2200.0, 3200.0), (2240.0, 3208.0), (2288.0, 3208.0), (2304.0, 3192.0), (2312.0, 3168.0), (2368.0, 3176.0), (2384.0, 3192.0), (2400.0, 3208.0), (2408.0, 3376.0), (2424.0, 3392.0), (2440.0, 3408.0), (2480.0, 3400.0), (2512.0, 3384.0), (2560.0, 3368.0), (2576.0, 3352.0), (2592.0, 3336.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2034.0, 2965.0)","[(2034, 2965), (2040.0, 3056.0), (2064.0, 3048.0), (2072.0, 3024.0), (2088.0, 3008.0), (2128.0, 3016.0), (2144.0, 3032.0), (2152.0, 3152.0), (2168.0, 3168.0), (2184.0, 3184.0), (2200.0, 3200.0), (2240.0, 3208.0), (2288.0, 3208.0), (2304.0, 3192.0), (2312.0, 3168.0), (2368.0, 3176.0), (2384.0, 3192.0), (2400.0, 3208.0), (2408.0, 3376.0), (2424.0, 3392.0), (2440.0, 3408.0), (2480.0, 3400.0), (2512.0, 3384.0), (2560.0, 3368.0), (2576.0, 3352.0), (2592.0, 3336.0), (2624.0, 3336.0), (2656.0, 3352.0), (2672.0, 3368.0), (2680.0, 3392.0), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2434.0, 2934.0)","[(2434, 2934), (2424.0, 2912.0), (2408.0, 2880.0), (2392.0, 2864.0), (2376.0, 2848.0), (2352.0, 2840.0), (2336.0, 2824.0), (2304.0, 2808.0), (2296.0, 2784.0), (2256.0, 2776.0), (2248.0, 2144.0), (2232.0, 2064.0), (2216.0, 2048.0), (2208, 2032)]"
"(2689.0, 2870.0)","[(2689, 2870), (2696.0, 3408.0), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2763.0, 2874.0)","[(2763, 2874), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
"(2713.0, 2841.0)","[(2713, 2841), (2712.0, 3424.0), (2728.0, 3584.0), (2752.0, 3592.0), (2744.0, 3680.0), (2728.0, 3696.0), (2712.0, 3728.0), (2688.0, 3736.0), (2672.0, 3752.0), (2640.0, 3768.0), (2624.0, 3784.0), (2608.0, 3800.0), (2576.0, 3816.0), (2568.0, 3840.0), (2552.0, 3856.0), (2544, 3872)]"
